S_INFO_WINDCODE,date,S_DQ_PRECLOSE,Open_price,High_price,Low_price,Close_price,S_DQ_CHANGE,S_DQ_PCTCHANGE,group_volume,group_turnover,S_DQ_ADJPRECLOSE,S_DQ_ADJOPEN,S_DQ_ADJHIGH,S_DQ_ADJLOW,S_DQ_ADJCLOSE,S_DQ_ADJFACTOR,S_DQ_AVGPRICE,S_DQ_TRADESTATUSCODE,S_DQ_LIMIT,S_DQ_STOPPING,S_DQ_ADJCLOSE_BACKWARD,OPMODE,group_time,return,y1,volume_spike,price_jump_probability,trade_continuation,relative_volatility_index,MFI,RSI,SRSI,PVI,VHF,CVI,CMO,VIDYA,UI,ACD,TS,MACD,VMACD,TMACD,QST,DDI,KVO,KVO_signal
000014.SZ,20180228,10.48,10.39,10.67,10.27,10.61,0.13,1.2405,35729.04,37512.135,56.36,55.87,57.38,55.23,57.05,5.377429,10.4991,-1,11.53,9.43,8.61,1,1,0.012404580152671763,1,0.7421485999430838,0.9666666666666667,1.0,49.9999999999245,36.21311311229613,48.0271944807766,90.36380417479243,1057.620844749541,0.5958279009126467,-5.979688666130177,-0.7661138705635869,11.60037078152982,0.0,211.0,-3.0,0.0898742134565168,451.4176438271934,0.0,-0.07199999999999998,-39.121114683815634,-317936.81510043424,-312481.37844264024
000014.SZ,20180301,10.61,10.6,10.6,10.4,10.5,-0.11,-1.0368,29176.02,30601.17,57.05,57.0,57.0,55.93,56.46,5.377429,10.4885,-1,11.67,9.55,8.52,1,1,-0.010367577756833168,0,0.6192497744035735,0.9666666666666667,1.0,49.99999999992248,39.51719427059066,46.97926027180315,83.37390647477278,1057.620844749541,0.6409537166900422,-10.926108713232114,-2.154344421053573,11.54910101938758,0.0,208.35,-3.0,0.1103522184504857,208.34964194557324,0.0,-0.05649999999999995,-32.49999999999997,-407606.63969991764,-326070.70147939416
000014.SZ,20180302,10.5,10.59,11.23,10.43,10.99,0.49,4.6667,77217.75,84033.366,56.46,56.95,60.39,56.09,59.1,5.377429,10.8826,-1,11.55,9.45,8.92,1,1,0.046666666666666634,1,1.7591814341762935,0.9666666666666667,1.0,49.99999999991833,38.41845237025144,52.00322870295045,100.0,1106.9764841711863,0.5813008130081303,-11.743445922491233,4.134131455934317,11.521376496030411,24.85246761577432,206.28,-3.0,0.18848018311435544,6412.726192775353,0.0,-0.04599999999999991,-29.41176470588232,-310890.9854286561,-323902.17061500304
000014.SZ,20180305,10.99,10.58,10.95,10.58,10.71,-0.28,-2.5478,42457.83,45504.751,59.1,56.89,58.88,56.89,57.59,5.377429,10.7176,-1,12.09,9.89,8.69,1,1,-0.02547770700636942,0,0.9685306462374271,0.9666666666666667,1.0,49.99999999991367,39.411412388169865,49.137962990519554,83.64899967186132,1106.9764841711863,0.5781671159029652,-15.402398230628616,0.41595804898713584,11.4825788064174,24.92187630408062,204.12,-3.0,0.199937641883842,5749.960783796079,0.0,-0.039999999999999855,-29.333333333333314,-412929.41250548733,-336620.3480279294
000014.SZ,20180306,10.71,10.63,11.49,10.57,11.16,0.45,4.2017,76454.38,84147.131,57.59,57.16,61.79,56.84,60.01,5.377429,11.0062,-1,11.78,9.64,9.05,1,1,0.042016806722688926,1,1.7684285196459766,0.9666666666666667,1.0,49.999999999908624,40.80548384836722,53.56598711028193,100.0,1153.4881011531686,0.5194300518134719,-8.323208895937247,6.088604446307628,11.466282646704649,24.8259277938634,202.13,-3.0,0.26172479110452385,9580.396342737575,0.0,-0.017499999999999894,-22.65542676501579,-286459.3548230789,-329454.4918558079
000014.SZ,20180307,11.16,11.0,12.08,10.91,11.5,0.34,3.0466,112179.16,129425.905,60.01,59.15,64.96,58.67,61.84,5.377429,11.5374,-1,12.28,10.04,9.33,1,1,0.03046594982078843,1,2.5148696029337976,0.9666666666666667,1.0,49.99999999990486,51.64711362052143,56.637693425084954,100.0,1188.6302117617777,0.44161073825503383,-8.501666987208864,10.15879130119448,11.468051343316501,24.53681327757932,200.16,-1.0,0.33718222101101725,16225.03300020857,0.0,0.030500000000000062,-6.578947368421041,-12760.740491996286,-284212.5273752634
000014.SZ,20180308,11.5,11.5,11.58,11.21,11.42,-0.08,-0.6957,72290.49,82396.003,61.84,61.84,62.27,60.28,61.41,5.377429,11.3979,-1,12.65,10.35,9.27,1,1,-0.006956521739130417,0,1.537932478350221,0.9666666666666667,1.0,49.99999999990213,51.11266564662099,55.70395494421491,93.29989144441558,1188.6302117617777,0.4923312883435586,-18.676071868276864,8.988845961790062,11.465557505004607,23.95308412652891,199.58,-1.0,0.3628769707573649,14597.305956194821,0.0,0.06950000000000003,-4.269662921348299,-251382.3268029655,-279522.498722078
000014.SZ,20180309,11.42,11.42,11.44,11.21,11.38,-0.04,-0.3503,50497.9,57097.591,61.41,61.41,61.52,60.28,61.2,5.377429,11.3069,-1,12.56,10.28,9.23,1,1,-0.003502626970227629,0,1.0636108719115773,0.9666666666666667,1.0,49.999999999899885,50.66210489948996,55.21381271205945,89.78284011751938,1188.6302117617777,0.5152487961476729,-30.12038065523103,8.383011432056545,11.46114180022222,23.234629379821307,199.72,-1.0,0.3603128184889831,10146.378634455303,0.0,0.07650000000000005,4.156479217603909,-420737.42494042,-299696.0596104126
000014.SZ,20180312,11.38,11.4,11.5,11.23,11.42,0.04,0.3515,46122.39,52448.782,61.2,61.3,61.84,60.39,61.41,5.377429,11.3717,-1,12.52,10.24,9.27,1,1,0.0035149384885764245,1,0.9655665552864924,0.9666666666666667,1.0,49.99999999989819,54.63343042911479,55.634218716895866,91.00820397233528,1188.6302117617777,0.5245098039215691,-34.75118050403381,8.915966525803313,11.459007991205164,22.43187760082552,200.14,1.0,0.3495605514163468,6359.158101071262,0.0,0.06950000000000003,11.483870967741922,-294629.4157137099,-298972.25333945506
000014.SZ,20180313,11.42,11.44,11.53,11.23,11.26,-0.16,-1.4011,35317.89,40169.176,61.41,61.52,62.0,60.39,60.55,5.377429,11.3736,-1,12.56,10.28,9.14,1,1,-0.014010507880910739,0,0.7262540526759764,0.9666666666666667,1.0,49.99999999989575,55.73524242763136,53.47201770904412,68.0707794087039,1188.6302117617777,0.6137667304015304,-45.99185812802593,6.31201239401363,11.44893325785873,21.087713948977893,201.01,1.0,0.3079159994892032,2351.4084302844185,0.0,0.09850000000000003,21.00139082058412,-341997.757718569,-305118.75396504276
