date,High_price,Low_price,Close_price,Open_price,group_volume,group_turnover,trading_session,return,y1,y2,target1,target2,group_time
2024/10/31 14:10,3917.8,3900,3903,3903.8,5045,5915091300,Day_afternoon,0.00200246457178066,1,1,1,1,10
2024/10/31 14:20,3915.2,3902,3904,3908.8,2421,2839243920,Day_afternoon,0.000256213169356867,1,1,0,0,10
2024/10/31 14:30,3913,3895.6,3908.6,3902.4,3838,4495337460,Day_afternoon,0.0011782786885246033,1,1,0,0,10
2024/10/31 14:40,3902.6,3883.6,3902.6,3893.4,4951,5778991200,Day_afternoon,-0.001535076,0,0,0,0,10
2024/10/31 14:50,3898,3890.2,3893.4,3893,2654,3100954440,Day_afternoon,-0.002357403,0,0,0,0,10
2024/10/31 15:00,3893,3893,3893,3893,7,8174580,Day_afternoon,-0.000102738,0,0,0,0,10
2024/11/1 9:20,3891.2000000000003,3891.2000000000003,3891.2000000000003,3891.2000000000003,0,0,Day_morning,-0.000462368,0,0,1,1,10
2024/11/1 9:30,3909.2,3885.4,3891.2,3905.4,7271,8506407540,Day_morning,-1.11E-16,0,0,1,1,10
2024/11/1 9:40,3915,3886.4,3905.2,3913,7383,8639265900,Day_morning,0.00359786184210531,1,1,1,1,10
2024/11/1 9:50,3931,3912.4,3913,3927.8,8064,9487643820,Day_morning,0.001997336884154599,1,1,0,0,10
2024/11/1 10:00,3928.4,3910.8,3928,3913.6,6232,7327267320,Day_morning,0.0038333759263990963,1,1,0,0,10
2024/11/1 10:10,3916.2,3892.2,3913.6,3906.6,7112,8328053880,Day_morning,-0.003665988,0,0,1,1,10
2024/11/1 10:20,3925,3903.2,3907,3924.4,4728,5550997740,Day_morning,-0.001686427,0,0,1,1,10
2024/11/1 10:30,3935.2,3916.8,3924.2,3925,5359,6313024200,Day_morning,0.004402354747888415,1,1,1,1,10
2024/11/1 10:40,3944.4,3922.4,3925,3932.6,6494,7670295000,Day_morning,0.00020386320778764677,1,1,1,1,10
2024/11/1 10:50,3939,3925.2,3933,3936.2,3047,3593955000,Day_morning,0.0020382165605095093,1,1,0,0,10
2024/11/1 11:00,3936.4,3921,3935.8,3929.6,3108,3661375260,Day_morning,0.0007119247393847505,1,1,0,0,10
2024/11/1 11:10,3934.8,3918,3930,3928.8,2587,3047410380,Day_morning,-0.001473652,0,0,1,1,10
2024/11/1 11:20,3938.6,3927,3928.8,3935.6,2186,2579975820,Day_morning,-0.000305344,0,0,0,0,10
2024/11/1 11:30,3934.8,3934.8,3934.8,3934.8,3,3541800,Day_morning,0.0015271838729382647,1,1,0,0,10
2024/11/1 13:30,3927,3917,3922.6,3918.4,1863,2192221680,Day_afternoon,-0.003100539,0,0,0,0,10
2024/11/1 13:40,3923,3912.8,3917.8,3913.8,2901,3408676620,Day_afternoon,-0.001223678,0,0,1,1,10
2024/11/1 13:50,3922.8,3912.2,3913.8,3921.4,2692,3163055100,Day_afternoon,-0.001020981,0,0,0,0,10
2024/11/1 14:00,3924.2,3914.6,3921.4,3915.4,2190,2575101120,Day_afternoon,0.0019418467985077292,1,1,0,0,10
2024/11/1 14:10,3918,3905.2,3915.4,3905.8,2405,2822101440,Day_afternoon,-0.001530066,0,0,1,1,10
2024/11/1 14:20,3921.4,3905,3905.8,3917.4,2799,3286727340,Day_afternoon,-0.002451857,0,0,0,0,10
2024/11/1 14:30,3920.8,3907,3917.4,3909.4,2368,2779858080,Day_afternoon,0.0029699421373341472,1,1,0,0,10
2024/11/1 14:40,3913.2,3905,3909.4,3907.6,2206,2586622200,Day_afternoon,-0.002042171,0,0,0,0,10
2024/11/1 14:50,3908.6,3903,3907.4,3905,3298,3863825580,Day_afternoon,-0.000511587,0,0,1,1,10
2024/11/1 15:00,3905,3905,3905,3905,2,2343060,Day_afternoon,-0.000614219,0,0,1,1,10
